?# Italian
Because the condition in which the substance is involved determines a danger (for example, a spreading of water on switchboards).;Perchè la condizione in cui è coinvolta la sostanza determina un pericolo (ad esempio, uno spandimento di acqua su quadri elettrici).
Dangerous for the ozone layer;Pericoloso per lo strato di ozono
Do you really want to delete this file?;Sei sicuro di voler cancellare questo file?
View File;Visualizza file
Delete File;Elimina file
Record updated successfully;Record aggiornato correttamente
List of Action Log Report: Analysis Of Cause And Corrective Action;Elenco Action Log Segnalazioni: Analisi Delle Cause  E Azione Correttive
Analysis;Analisi
Open;Aperte
Closed;Chiuso
Any;Qualsiasi
Date;Data
Other analysis;Altri analisi
Event cause;Causa evento
Responsible;Responsabile
Updating Record;Aggiornamento Record
Total Records;Totale segnalazioni
Analysis of cause closed;Analisi cause chiuse
Analysis of cause open;Analisi cause aperte
Data;Dati
Index;Indice
Graphs;Grafici
HR data;Dati HR
Consolidated Data;Dati Consolidati
Year/Month From;Anno / Mese Da
Year/Month To;Anno / Mese A
Year / Month; Anno / Mese
Total hours worked;Totale ore lavorate
Days Injury;
Days Injury;Giorni infortunio
Total Injury;Totale infortunio
Commuting Injury;Infortunio Itinere
Injury Contractors;Infortunio Appaltatori
Environmental Deviation;Deviazione ambientale
Detail;Dettaglio
Detail of Record;Dettaglio di Record
Detail of Month;Dettaglio di Mese
Year;Anno
Work Hours;Ore Lavorate
No. Employees;No. Addetti
Add Record;Aggiungi record
Delete Record;Elimina record
frequency
Frequency;Frequenza
Combined;Combinato
Spills;Sversamenti
Group;Gruppo
Best Site;Miglior sito
Frequency charts;Grafici Frequenza
Injury frequency rate;Indice di frequenza infortuni
Consolidated;Consolidati
Gravity graphs;Grafici Gravita
Injury severity rate;Indice Di Gravita Infortuni
Index Combined Injury;Indice Combinato Infortuni
Spills graphs;Grafici Sversamenti
Year / Week;Anno / Settimana
Consolidated;Consolidati
Login to application;Login per l'applicazione
In order to relate the PDF file for each report must comply with the following rule:;Per poter relazionare i file PDF ad ogni segnalazione bisogna rispettare la seguente regola:
The PDF file must be saved in the folder where the file access The name of the file should be written the with the first three letters indicating the characteristic;I file PDF devono essere salvati nella cartella dove si trova il file access Il nome del file deve essere scrito con le tre prime lettere che indicano la caratteristica
DE_: Event Description;DE_: Descrizione evento
CA_: Causes identified;CA_: Cause identificate
V1_: Corrective Action 1;V1_: Azione correttiva 1
V2_: Corrective Action 2;V2_: Azione correttiva 2
V3_: Corrective Action 3;V3_: Azione correttiva 3
V4_: Corrective Action 4;V4_: Azione correttiva 4
follows the message number;segue il numero della segnalazione
Example: "DE_5.PDF" PDF file that corresponds to the description of the event number 5;Esempio: "DE_5.PDF"  file PDF che corrisponde alla descrizione dell'evento numero 5
Empty;Vuoto
Not Empty;Non vuoto
Duplicate record found for this year, month and location. Please enter unique data;Duplicare record trovato per questo anno, il mese e la posizione. Inserisci i dati univoci
Edit Record;Modifica Record
No record found;Nessun record trovato
